ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location
6003087,HN750632,12/09/2007 07:00:00 PM,080XX S COTTAGE GROVE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,631,6,6,44,18,1182949,1851967,2007,02/28/2018 03:56:25 PM,41.74899896,-87.605175838,"(41.74899896, -87.605175838)"
6003097,HN783786,12/29/2007 06:03:39 PM,042XX W AUGUSTA BLVD,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1111,11,37,23,18,1147984,1906332,2007,02/28/2018 03:56:25 PM,41.898924767,-87.731907436,"(41.898924767, -87.731907436)"
6003100,HP107040,01/04/2008 10:30:00 PM,019XX E 73RD PL,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,333,3,5,43,3,1190599,1856624,2008,02/28/2018 03:56:25 PM,41.761597096,-87.576993735,"(41.761597096, -87.576993735)"
6003103,HN784713,12/30/2007 11:10:32 AM,036XX W ROOSEVELT RD,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1133,11,24,29,18,1152130,1894465,2007,02/28/2018 03:56:25 PM,41.866279701,-87.716992273,"(41.866279701, -87.716992273)"
6003105,HP110456,01/06/2008 05:00:00 PM,039XX W FILLMORE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1132,11,24,29,7,1150338,1895083,2008,02/28/2018 03:56:25 PM,41.868010682,-87.7235548,"(41.868010682, -87.7235548)"
6003108,HP111020,01/07/2008 12:00:00 AM,042XX W SCHOOL ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1731,17,30,16,7,1147558,1921602,2008,02/28/2018 03:56:25 PM,41.940835296,-87.733079557,"(41.940835296, -87.733079557)"
6003120,HN750827,12/09/2007 09:30:00 PM,076XX S UNION AVE,2027,NARCOTICS,POSS: CRACK,STREET,true,false,621,6,17,71,18,1172960,1854117,2007,02/28/2018 03:56:25 PM,41.755124977,-87.641715816,"(41.755124977, -87.641715816)"
6003122,HP110799,12/27/2007 09:00:00 AM,024XX S ARCHER AVE,820,THEFT,$500 AND UNDER,STREET,false,false,923,9,11,60,6,1171590,1887793,2007,02/28/2018 03:56:25 PM,41.847565598,-87.645749253,"(41.847565598, -87.645749253)"
6003135,HN780822,12/27/2007 09:16:18 PM,002XX S CICERO AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1533,15,28,25,18,1144417,1898785,2007,02/28/2018 03:56:25 PM,41.878282788,-87.745199019,"(41.878282788, -87.745199019)"
6003140,HN785807,12/31/2007 01:33:44 PM,011XX N KEELER AVE,2025,NARCOTICS,POSS: HALLUCINOGENS,STREET,true,false,1111,11,37,23,18,1148167,1907466,2007,02/28/2018 03:56:25 PM,41.902033059,-87.731206045,"(41.902033059, -87.731206045)"
